No,Point Name,X (mm),Y (mm),Z (mm)
1,Point1,-47.7272727272727,2.27272727272727,0
2,Point2,-45.4545454545455,4.54545454545455,0
3,Point3,-43.1818181818182,6.81818181818182,0
4,Point4,-40.9090909090909,9.09090909090909,0
5,Point5,-38.6363636363636,11.3636363636364,0
6,Point6,-36.3636363636364,13.6363636363636,0
7,Point7,-34.0909090909091,15.9090909090909,0
8,Point8,-31.8181818181818,18.1818181818182,0
9,Point9,-29.5454545454545,20.4545454545455,0
10,Point10,-27.2727272727273,22.7272727272727,0
11,Point11,-22.7272727272727,25,0
12,Point12,-20.4545454545455,25,0
13,Point13,-18.1818181818182,25,0
14,Point14,-15.9090909090909,25,0
15,Point15,-13.6363636363636,25,0
16,Point16,-11.3636363636364,25,0
17,Point17,-9.0909090909091,25,0
18,Point18,-6.81818181818182,25,0
19,Point19,-4.54545454545455,25,0
20,Point20,-2.27272727272727,25,0
21,Point21,-2.27573757835008,27.2757375783501,0
22,Point22,-4.55147515670017,29.5514751567001,0
23,Point23,-6.82721273505025,31.8272127350502,0
24,Point24,-9.10295031340033,34.1029503134002,0
25,Point25,-11.3786878917504,36.3786878917503,0
26,Point26,-13.6544254701005,38.6544254701004,0
27,Point27,-15.9301630484506,40.9301630484504,0
28,Point28,-18.2059006268007,43.2059006268005,0
29,Point29,-20.4816382051507,45.4816382051505,0
30,Point30,-22.7573757835008,47.7573757835006,0
31,Point31,-25.0301030562281,52.3028303289551,0
32,Point32,-25.0270927506053,54.5725472960596,0
33,Point33,-25.0240824449825,56.8422642631641,0
34,Point34,-25.0210721393597,59.1119812302686,0
35,Point35,-25.0180618337369,61.3816981973731,0
36,Point36,-25.015051528114,63.6514151644776,0
37,Point37,-25.0120412224912,65.9211321315821,0
38,Point38,-25.0090309168684,68.1908490986866,0
39,Point39,-25.0060206112456,70.460566065791,0
40,Point40,-25.0030103056228,72.7302830328955,0
41,Point41,-22.7272727272727,72.7272727272727,0
42,Point42,-20.4545454545455,70.4545454545455,0
43,Point43,-18.1818181818182,68.1818181818182,0
44,Point44,-15.9090909090909,65.9090909090909,0
45,Point45,-13.6363636363636,63.6363636363636,0
46,Point46,-11.3636363636364,61.3636363636364,0
47,Point47,-9.09090909090909,59.0909090909091,0
48,Point48,-6.81818181818182,56.8181818181818,0
49,Point49,-4.54545454545455,54.5454545454545,0
50,Point50,-2.27272727272728,52.2727272727273,0
51,Point51,2.27272727272756,47.733301323602,0
52,Point52,4.54545454545512,45.4666026472039,0
53,Point53,6.81818181818269,43.1999039708059,0
54,Point54,9.09090909091025,40.9332052944079,0
55,Point55,11.3636363636378,38.6665066180099,0
56,Point56,13.6363636363654,36.3998079416118,0
57,Point57,15.9090909090929,34.1331092652138,0
58,Point58,18.1818181818205,31.8664105888158,0
59,Point59,20.4545454545481,29.5997119124177,0
60,Point60,22.7272727272756,27.3330132360197,0
61,Point61,27.2727272727302,25.0663145596217,0
62,Point62,29.5454545454572,25.0663145596217,0
63,Point63,31.8181818181842,25.0663145596217,0
64,Point64,34.0909090909111,25.0663145596217,0
65,Point65,36.3636363636381,25.0663145596217,0
66,Point66,38.6363636363651,25.0663145596217,0
67,Point67,40.9090909090921,25.0663145596217,0
68,Point68,43.1818181818191,25.0663145596217,0
69,Point69,45.454545454546,25.0663145596217,0
70,Point70,47.727272727273,25.0663145596217,0
71,Point71,50.0000000000006,27.3450704286782,0
72,Point72,50.0000000000012,29.6238262977347,0
73,Point73,50.0000000000017,31.9025821667912,0
74,Point74,50.0000000000023,34.1813380358477,0
75,Point75,50.0000000000029,36.4600939049042,0
76,Point76,50.0000000000035,38.7388497739608,0
77,Point77,50.0000000000041,41.0176056430173,0
78,Point78,50.0000000000047,43.2963615120738,0
79,Point79,50.0000000000053,45.5751173811303,0
80,Point80,50.0000000000058,47.8538732501868,0
81,Point81,47.7272727272789,50.1296148210787,0
82,Point82,45.4545454545513,50.1266005229141,0
83,Point83,43.1818181818237,50.1235862247495,0
84,Point84,40.9090909090962,50.1205719265848,0
85,Point85,38.6363636363686,50.1175576284202,0
86,Point86,36.363636363641,50.1145433302556,0
87,Point87,34.0909090909135,50.111529032091,0
88,Point88,31.8181818181859,50.1085147339263,0
89,Point89,29.5454545454583,50.1055004357617,0
90,Point90,27.2727272727308,50.1024861375971,0
91,Point91,25.0000000000032,52.3691848139951,0
92,Point92,25.0000000000032,54.6388977885578,0
93,Point93,25.0000000000032,56.9086107631204,0
94,Point94,25.0000000000032,59.1783237376831,0
95,Point95,25.0000000000032,61.4480367122457,0
96,Point96,25.0000000000032,63.7177496868084,0
97,Point97,25.0000000000032,65.9874626613711,0
98,Point98,25.0000000000032,68.2571756359337,0
99,Point99,25.0000000000032,70.5268886104964,0
100,Point100,25.0000000000032,72.796601585059,0
