epoch,lr,train_loss,train_velocity_loss,train_mode_loss,train_mode_accuracy,val_loss,val_velocity_loss,val_mode_loss,val_mode_accuracy
1,0.001,0.16254822811204758,0.026853908313679214,0.6784715825055423,0.7242724055752149,0.08846964939362507,0.011367930683679554,0.38550858940753635,0.8808900523560209
2,0.001,0.0724943984223762,0.011352398934536477,0.30570999213811884,0.8636527767747526,0.06092266379538631,0.006246793194370016,0.27337934968775274,0.9114310645724258
3,0.001,0.06312440743226906,0.009057876172334207,0.27033265148197827,0.8724633494619773,0.057358970348747616,0.005647224537462621,0.2585587253953358,0.9101221640488656
4,0.001,0.058767629008611856,0.007937468528088968,0.25415079874054675,0.8782407741749115,0.05593741904898672,0.0054491956663004285,0.2524411166525636,0.912739965095986
5,0.001,0.05690441701047092,0.007632602848806148,0.2463590676297072,0.8815627933848487,0.05576264342036339,0.00578135769508688,0.2499064238803757,0.918630017452007
6,0.001,0.054660751065114886,0.0072327215799426504,0.23714014356955213,0.8840181988878457,0.05501245591548933,0.005662187852857742,0.24675133917968312,0.9181937172774869
7,0.001,0.0540582311384134,0.007245660511898004,0.23406285034079513,0.883729327652199,0.05375799427481846,0.005493027595502453,0.24132482808921973,0.9214659685863874
8,0.001,0.05112990771720338,0.006772944337410678,0.22178481317232807,0.8869791290532245,0.05604056300137056,0.005651860301631517,0.2519435118006162,0.919066317626527
9,0.001,0.052347460039718116,0.0067892826617010505,0.227790881863284,0.8872680002888712,0.05007284294560318,0.005166367359599993,0.22453237282043975,0.925392670157068
10,0.001,0.05065097572229361,0.006659050514587811,0.21995962322061738,0.8899400592186033,0.055556068401686184,0.0056292787515257615,0.2496339472280539,0.918630017452007
11,0.001,0.04885230609768994,0.0063468410997269695,0.212527322430561,0.8916010688235719,0.05887259863460043,0.005760288621578528,0.2655615436261029,0.9166666666666666
12,0.001,0.04811492729847325,0.006217773645863904,0.2094857657765829,0.8932620784285404,0.06075208864286932,0.006300503002942083,0.27225792735659016,0.9133944153577661
13,0.001,0.046681078411695234,0.006143068276289098,0.20269004908097973,0.8962230085939192,0.05682350287496732,0.005731948473626694,0.25545776849953916,0.9197207678883071
14,0.001,0.04527125733607192,0.005969083091943451,0.1965108685969721,0.8980284538167111,0.0612326046130108,0.00592357932568006,0.27654511865104886,0.9129581151832461
15,0.0005,0.046516619308477634,0.0060970010259445975,0.20209808807007335,0.8983895428612696,0.06511809749701052,0.006617863846001708,0.29250116308218105,0.9037958115183246
16,0.0005,0.04274565640535907,0.005640464020474498,0.18552595845299816,0.9035892251029104,0.06546675274067316,0.0063538438657600995,0.29556454374840124,0.9007417102966842
17,0.0005,0.04168268106380094,0.005513724479336011,0.1808447802285042,0.9069112443128475,0.061970956272479755,0.006083708706602005,0.27943623817507923,0.9077225130890052
18,0.0005,0.04106017537945021,0.005404250202761701,0.1782796230212079,0.9082111648732577,0.06776202038372582,0.006280845707641219,0.30740586315878193,0.9053228621291448
19,0.0005,0.0405532076275266,0.005389437942300295,0.17581884566197595,0.910161045713873,0.08032883561978582,0.007008397887800381,0.3666021817901788,0.8965968586387435
20,0.0005,0.03981444789572228,0.005314203559476087,0.17250121918027303,0.9120387087455767,0.0768789723385483,0.006777964876872247,0.3505050385497627,0.8970331588132635
21,0.00025,0.03930722147542716,0.005221614774136029,0.17042803072176954,0.912399797790135,0.07671921482442977,0.006846307388614102,0.3493645384413618,0.8963787085514834
22,0.00025,0.038464867916745624,0.005052079577195343,0.16706393822363638,0.9142774608218387,0.07740359174097396,0.0067052492182328,0.35349170413732944,0.8979057591623036
23,0.00025,0.03738485191173697,0.004908487558482704,0.16238181909202298,0.916660648515924,0.07462911552263596,0.0065654939528957765,0.34031809988654305,0.8979057591623036
24,0.00025,0.03676018532159213,0.004895354527589993,0.15932415208506948,0.9178161334585109,0.08232785965499662,0.006936023889083487,0.3769591762237316,0.8970331588132635
