trial_number,stop_reason,force_pause_count,force_pause_total_s,sample_count,duration_s,peak_force_change_n,peak_force_change_g,contact_travel_mm,signal_min,signal_max,signal_peak_abs,signal_final,signal_onset_distance_mm,contact_onset_distance_mm,signal_distance_slope,signal_distance_intercept,signal_distance_r_squared,force_distance_slope,force_distance_intercept,force_distance_r_squared,force_signal_slope,force_signal_intercept,force_signal_r_squared,csv_path,metadata_path
1,contact_threshold,0,0.0,15047,753.3497648099437,21.840390215,2227.1,39.61422729492187,-472.3333333333333,1187.0,1187.0,-8.0,8.880432128906241,37.698417663574205,-5.808903412107119,80.61724333885617,0.46683076454475547,1270.524362154078,-48272.17668401809,0.9691337126954706,1.2613528444811577,436.05163242637576,0.9526128037608859,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_20260924_123722_885665_taxel-35_signal-diff_ave_speed-0p1mmps_threshold-2000g_travel-unlimited_timeout-unlimited_reps-3/trial_0001.csv,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_20260924_123722_885665_taxel-35_signal-diff_ave_speed-0p1mmps_threshold-2000g_travel-unlimited_timeout-unlimited_reps-3/trial_0001.json
2,contact_threshold,0,0.0,12979,649.9207573789172,22.034561885000002,2246.9,39.729011535644524,-413.0,918.0,918.0,-28.666666666666668,7.980072021484375,37.7409210205078,-4.7259532077597575,62.373814356974364,0.49775668801046213,1136.2899352834513,-43154.09139272659,0.949099247666041,1.5119245541999256,553.8456355355992,0.9546709681868281,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_20260924_123722_885665_taxel-35_signal-diff_ave_speed-0p1mmps_threshold-2000g_travel-unlimited_timeout-unlimited_reps-3/trial_0002.csv,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_20260924_123722_885665_taxel-35_signal-diff_ave_speed-0p1mmps_threshold-2000g_travel-unlimited_timeout-unlimited_reps-3/trial_0002.json
3,contact_threshold,0,0.0,13006,651.2558158419561,23.64187182,2410.7999999999997,40.26406860351564,-349.0,867.0,867.0,-21.0,3.0377502441406303,38.544868469238295,-3.7970127458985443,41.45336633443398,0.46120181459302445,1296.52172240604,-49934.44766875267,0.9768430091669729,1.8887108689305825,507.45273091188056,0.9561334630850317,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_20260924_123722_885665_taxel-35_signal-diff_ave_speed-0p1mmps_threshold-2000g_travel-unlimited_timeout-unlimited_reps-3/trial_0003.csv,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_20260924_123722_885665_taxel-35_signal-diff_ave_speed-0p1mmps_threshold-2000g_travel-unlimited_timeout-unlimited_reps-3/trial_0003.json
