epoch,lr,train_loss,train_velocity_loss,train_mode_loss,train_mode_accuracy,val_loss,val_velocity_loss,val_mode_loss,val_mode_accuracy
1,0.001,0.12803361656624013,0.022846535811040822,0.5259353971925846,0.7694540582784415,0.19469883221848097,0.02007094545162619,0.8731394202915852,0.785011355034065
2,0.001,0.05849866734324149,0.00943848601076284,0.24530090348880526,0.8907000111644524,0.07602064606763936,0.007901707750055614,0.34059468955703975,0.9099167297501892
3,0.001,0.0476708682003372,0.00719677761968184,0.2023704496178095,0.9077816233113766,0.10555245143831633,0.013203068544970435,0.46174691139207835,0.8183194549583649
4,0.001,0.042645112340077236,0.0063335565283255705,0.18155777762647424,0.9148152283130513,0.23493995461373235,0.0198731311904448,1.075334065110845,0.6729750189250567
5,0.001,0.03797798288701813,0.005542512998628297,0.16217734592310537,0.9265379033158424,0.10049142030664888,0.01021040493927748,0.45140506798947155,0.8501135503406511
6,0.001,0.031196662780794564,0.004654773818348733,0.13270944427290013,0.9407167578430278,0.07936014677979543,0.009149475381870026,0.35105334635736546,0.878122634367903
7,0.001,0.030102768856555846,0.0044957023906063275,0.12803533088685787,0.9437311599866026,0.3269204508943623,0.01852563503802434,1.5419740524766212,0.7138531415594247
8,0.0005,0.03250949392697235,0.004486363752293519,0.14011564817201802,0.9408284023668639,0.27241210745933786,0.02066219536617383,1.258749526030723,0.6790310370931113
9,0.0005,0.026355863701349604,0.0038114565137020544,0.11272203472882852,0.9510996985597856,0.19660904971399062,0.017284445257678634,0.8966229944733126,0.7607872823618471
10,0.0005,0.02244970308419409,0.003395822123454174,0.09526940420115249,0.9600312604666741,0.21969912304767858,0.01648248587436895,1.016083151685817,0.7698713096139288
11,0.0005,0.023645146592804346,0.0035235714222464336,0.10060787443984523,0.9594730378474936,0.21293507621431107,0.01707293914801253,0.9793106746760442,0.7342922028766087
12,0.0005,0.02120729572168482,0.0032149924655118746,0.08996151550727537,0.9627107290387407,0.14672634437190965,0.013514407880356086,0.6660596786178282,0.7978803936411809
13,0.0005,0.021206284710463433,0.0031732448952072273,0.09016519745416084,0.9639388188009378,0.18130877706871554,0.018061942638246037,0.8162341432435823,0.7993943981831946
14,0.00025,0.021651185591901347,0.0031686627549714352,0.09241261270258647,0.9634922407055934,0.13131296050852556,0.012622883581789871,0.5934503689509825,0.8349735049205148
15,0.00025,0.018593013111909105,0.0028897828070108505,0.07851614999301308,0.969297755945071,0.15827837227128114,0.012834357578305143,0.7272200674202115,0.8046934140802422
16,0.00025,0.01744734137365298,0.0027563345895748863,0.07345503238418133,0.972535447136318,0.11928617332502918,0.010851628034522384,0.5421727269684881,0.8546555639666918
17,0.00025,0.01813061233315452,0.0028042086057539204,0.07663201699793452,0.969521044992743,0.12558838705490658,0.011090200729068163,0.572490918901971,0.858440575321726
