epoch,lr,train_loss,train_velocity_loss,train_mode_loss,train_mode_accuracy,val_loss,val_velocity_loss,val_mode_loss,val_mode_accuracy
1,0.001,0.10750482667903756,0.017138875233557057,0.45182974953881355,0.8035984166966534,0.07380002744819807,0.008697720250195783,0.32551153084506157,0.9115217391304348
2,0.001,0.055178949648139713,0.007699493975782403,0.23739727454547532,0.8960777258006477,0.11742700425179109,0.010767423384013059,0.5332978948821192,0.8584782608695652
3,0.001,0.045639551451584555,0.006148310044305161,0.19745620587675122,0.9124145376034545,0.05391078653542892,0.005455252343140866,0.24227766897367395,0.922608695652174
4,0.001,0.04231261489963137,0.005523728395682518,0.18394442960357185,0.9193234976610292,0.1670195237579553,0.013985334962970861,0.765170944929123,0.8082608695652174
5,0.001,0.0367830196063739,0.004684322264438248,0.16049348476036884,0.9349406261245052,0.0615000930039779,0.005976647654872226,0.27761722678723544,0.9043478260869565
6,0.001,0.03383966188491753,0.0043128251116025754,0.14763418091699004,0.9396905361640878,0.050828093329201574,0.004797323631001231,0.230153845237649,0.9258695652173913
7,0.001,0.03486385951076707,0.004478409364028623,0.15192724843705546,0.9363080244692336,0.059601087155549425,0.005438582602098746,0.270812515642332,0.9121739130434783
8,0.001,0.03200573297488943,0.0039967868651373,0.14004472903893894,0.9429291111910759,0.06208720668502476,0.006137826463369572,0.279746892037599,0.9104347826086957
9,0.001,0.03020968438790037,0.0038621969687604634,0.13173743477503402,0.9474631162288593,0.057971219601838486,0.005289017242662932,0.26341100677199986,0.9223913043478261
10,0.001,0.029348461825257157,0.0036629057417785567,0.12842777846753062,0.9497661029147175,0.06066755148379699,0.005336167277748008,0.2766569127984669,0.9215217391304348
11,0.001,0.02675912138523709,0.0034638511516139068,0.1164763500693463,0.954372076286434,0.20951973195957102,0.015400001069773798,0.9705986460395482,0.7834782608695652
12,0.0005,0.02575956182530905,0.0033068576675496886,0.11226351825334735,0.9555235696293631,0.10562375014242918,0.008459096778305652,0.48582325303036233,0.8660869565217392
13,0.0005,0.022130605752555405,0.0028940963014268584,0.09618254587477855,0.9640158330334653,0.0507415267565976,0.004187970491045195,0.23276778070823007,0.9339130434782609
14,0.0005,0.021833671204184092,0.002831783249380068,0.09500943815289384,0.964735516372796,0.12840473249554635,0.009756252254946562,0.5932423919180165,0.8552173913043478
15,0.0005,0.020805414720093573,0.002712464185266381,0.09046475105966197,0.9661029147175243,0.08442662202793619,0.006306996579970354,0.3905981268571771,0.9065217391304348
16,0.0005,0.020621682908995926,0.0027343636470806283,0.0894365951083748,0.9653832313781936,0.07017116317282553,0.005879423534776003,0.3214586946238642,0.9156521739130434
17,0.0005,0.020014684595611346,0.0026105392132564033,0.0870207249512343,0.9673983447283195,0.06269609658614449,0.004914224272107948,0.2889093576306882,0.928695652173913
18,0.0005,0.020716078637201995,0.0027121231296026328,0.09001977648847435,0.9660309463835912,0.0617626251992972,0.004816116367304778,0.28473254009433413,0.9343478260869565
19,0.00025,0.018808304479586303,0.002573904147694714,0.08117199990658419,0.9685498380712486,0.0715999975282213,0.005311240659945685,0.33144378164540167,0.923695652173913
20,0.00025,0.01745366163899671,0.0023864596656985454,0.07533600918677866,0.9717884130982368,0.10511872163933256,0.006990032853184106,0.49064343766025875,0.9023913043478261
21,0.00025,0.017373194087252488,0.002367345635591865,0.07502924094406252,0.9723641597697014,0.09706536096723184,0.006059886679286137,0.45502736184907994,0.9128260869565218
22,0.00025,0.016833439313703707,0.0022812901920169462,0.07276074440198736,0.9735156531126304,0.1057157951982125,0.0065584231477291526,0.4957868597818458,0.9080434782608696
23,0.00025,0.016221215348448115,0.002275211860138565,0.06973001667495768,0.9746671464555595,0.10100345088087995,0.0064957461230780765,0.47253851351530657,0.9093478260869565
24,0.00025,0.016097710264854057,0.002261350097901484,0.06918179955723561,0.9746671464555595,0.09639086550992468,0.006196450867902731,0.4509720722488735,0.9130434782608695
25,0.000125,0.015937969588432306,0.0022465752592791552,0.06845697061637615,0.9749550197912918,0.08154574284734933,0.00526334843360414,0.3814119699726934,0.92
26,0.000125,0.014649879673013974,0.0020916625524570443,0.06279108510595639,0.9784094998200792,0.09498126861193906,0.005949959753121695,0.44515653755353846,0.915
27,0.000125,0.014829406404707576,0.0021063626932865663,0.06361521690461909,0.9774019431450162,0.09907745487664057,0.006078639612355999,0.4649940708409185,0.9139130434782609
28,0.000125,0.01413667812707528,0.002058931350015632,0.06038873288693317,0.9791291831594099,0.0962935294534849,0.005892487314894147,0.45200519849424775,0.9123913043478261
