epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0991659590176173,36.986301369863014,1.0725061297416687,40.74074074074074
2,1.0357642812388284,45.205479452054796,0.9761758148670197,53.7037037037037
3,0.7398652178900582,64.84018264840182,0.5646512024104595,61.111111111111114
4,0.47718811673777445,79.45205479452055,0.36680552549660206,94.44444444444444
5,0.32510207487004145,91.32420091324201,0.22129622614011168,96.29629629629629
6,0.19023846888116427,96.34703196347031,0.15929273003712296,98.14814814814815
7,0.08060758294803756,99.54337899543378,0.04902586666867137,100.0
8,0.08148442993738822,98.17351598173516,0.07901791529729962,98.14814814814815
9,0.0946489560550877,97.26027397260275,0.05871132621541619,100.0
10,0.03873786197177002,99.54337899543378,0.02313455962575972,100.0
11,0.017627666172172343,100.0,0.1413647411391139,96.29629629629629
12,0.041521626192012,98.63013698630137,0.0419851616024971,98.14814814814815
13,0.04799834598920175,99.08675799086758,0.015423228847794235,100.0
14,0.013927232939749956,100.0,0.010660116095095873,100.0
15,0.010239293931850366,100.0,0.008393917698413134,100.0
16,0.007634519133716822,100.0,0.0068923854269087315,100.0
17,0.006401851939569626,100.0,0.005960125767160207,100.0
18,0.005596264498308301,100.0,0.005248660396318883,100.0
19,0.004943637177348137,100.0,0.004674082389101386,100.0
20,0.004431920408803437,100.0,0.004218151501845568,100.0
21,0.004214434136104371,100.0,0.004176519927568734,100.0
22,0.0041411627483155045,100.0,0.00413703900994733,100.0
23,0.004105031373910606,100.0,0.004096523800399154,100.0
24,0.004052678189639535,100.0,0.00405169086297974,100.0
25,0.0040306988604632875,100.0,0.003983159840572625,100.0
26,0.003932086634449661,100.0,0.0038941784878261387,100.0
27,0.003800574058134641,100.0,0.0037769594346173108,100.0
28,0.0036652913549914956,100.0,0.0036518978886306286,100.0
29,0.003514892205462924,100.0,0.0035200690617784858,100.0
30,0.003391504553811891,100.0,0.0033855787478387356,100.0
31,0.003231332421169749,100.0,0.0032529817544855177,100.0
32,0.0031061002020058887,100.0,0.0031264287244994193,100.0
33,0.002960316836833954,100.0,0.0030040329147595912,100.0
34,0.0028313248684363706,100.0,0.002883471403038129,100.0
35,0.002717324615722256,100.0,0.0027778518269769847,100.0
36,0.002613712052282478,100.0,0.002675990283023566,100.0
37,0.002493275820078062,100.0,0.0025809862127061933,100.0
38,0.0024106347617427154,100.0,0.0024906590406317264,100.0
39,0.0023151218608420876,100.0,0.0024100493465084583,100.0
40,0.0022194012167996596,100.0,0.002327961556147784,100.0
41,0.0021762106916867197,100.0,0.0023210904910229146,100.0
42,0.0021683619623737676,100.0,0.002313940814929083,100.0
43,0.0021583474507289274,100.0,0.002306620648596436,100.0
44,0.0021487215334283455,100.0,0.002299544576089829,100.0
45,0.0021486687806567977,100.0,0.0022926934179849923,100.0
46,0.002136753198491143,100.0,0.0022858825977891684,100.0
47,0.0021364218222775628,100.0,0.002279670035932213,100.0
48,0.0021190615370869637,100.0,0.0022729119227733463,100.0
49,0.002121200934717698,100.0,0.0022658990637864918,100.0
50,0.002115967051525201,100.0,0.0022596119961235672,100.0
