epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.5937979557821829,43.535353535353536,1.0916708169444915,61.41414141414141
2,0.84582589086025,72.82828282828282,0.5579643754228469,85.25252525252525
3,0.461484596854256,87.02020202020202,0.3210316588801722,90.9090909090909
4,0.2920861999474226,91.86868686868686,0.1669571029563104,96.56565656565657
5,0.20724995103814908,94.6969696969697,0.26212119491350266,93.73737373737374
6,0.1703089535566828,95.8080808080808,0.17491933979815052,95.75757575757575
7,0.16964368374958153,95.4040404040404,0.12964657754186662,96.96969696969697
8,0.08697115234099329,98.28282828282828,0.09903738151995405,97.17171717171718
9,0.049708331206573114,98.98989898989899,0.1282733322211331,96.36363636363636
10,0.13235436922179594,96.06060606060606,0.1033167649481085,97.77777777777777
11,0.04517421490632959,99.1919191919192,0.07548162626523164,98.38383838383838
12,0.027002697127060063,99.29292929292929,0.053630470869041255,98.78787878787878
13,0.020831772674536033,99.64646464646465,0.043493947329660575,98.78787878787878
14,0.014909609055687343,99.74747474747475,0.03750350091215824,98.98989898989899
15,0.01813998795489991,99.64646464646465,0.034916160102452964,99.1919191919192
16,0.027066539822807236,99.39393939393939,0.05846800820361222,98.38383838383838
17,0.016841457292978323,99.74747474747475,0.046016589918684576,98.98989898989899
18,0.009047316804137681,99.94949494949495,0.03750814574079648,98.98989898989899
19,0.0067911485018539094,100.0,0.03515550618120018,98.98989898989899
20,0.005859600607260701,99.94949494949495,0.03426756314753044,98.98989898989899
21,0.004977320390377914,100.0,0.03279196658366991,98.98989898989899
22,0.004353354493486544,100.0,0.03626193748711939,98.98989898989899
23,0.0040326727903448045,100.0,0.03471489940139075,98.98989898989899
24,0.003733857027855852,100.0,0.03640759556794599,98.98989898989899
25,0.0034906364613092474,100.0,0.03482744439069422,98.98989898989899
26,0.0032601743023992786,100.0,0.03296238361226936,98.98989898989899
27,0.003047052105220275,100.0,0.03282171634266213,98.98989898989899
28,0.0028535257320806023,100.0,0.03230736960071109,98.98989898989899
29,0.0026793986729781835,100.0,0.03251482447564241,98.98989898989899
30,0.0025099222736072635,100.0,0.03179752244614065,98.98989898989899
31,0.0023814060644532045,100.0,0.032372334848097976,98.98989898989899
32,0.002302502038806016,100.0,0.0329753685622446,98.98989898989899
33,0.0022255529390437707,100.0,0.03385078376759925,98.98989898989899
34,0.0021509095930659604,100.0,0.03317381761172005,98.98989898989899
35,0.002076241874038392,100.0,0.035301992968250547,98.98989898989899
36,0.0020052491520125898,100.0,0.03467340936749092,98.98989898989899
37,0.0019309923077197445,100.0,0.034831275928750516,98.98989898989899
38,0.0018607860678927072,100.0,0.03508292373097051,98.98989898989899
39,0.0017909541455728391,100.0,0.034259659333920646,98.98989898989899
40,0.0017220914737516714,100.0,0.03512739870817431,98.98989898989899
41,0.0016651212617063956,100.0,0.03513395063008272,98.98989898989899
42,0.0016324080572831595,100.0,0.03496933345975835,98.98989898989899
43,0.0015975898798299773,100.0,0.03477407182987419,99.1919191919192
44,0.0015596445680843786,100.0,0.03511365033468352,98.98989898989899
45,0.0015244741497876784,100.0,0.03476948647444407,99.1919191919192
46,0.001488160040612603,100.0,0.035167496645778056,98.98989898989899
47,0.0014525793517203701,100.0,0.035054983471655435,99.1919191919192
48,0.001415175260908361,100.0,0.03478998308175153,99.1919191919192
49,0.001377256172652837,100.0,0.035099643517300605,99.1919191919192
50,0.001339730976108131,100.0,0.034953875793895174,99.1919191919192
