trial_number,stop_reason,sample_count,duration_s,peak_force_change_n,peak_force_change_g,contact_travel_mm,signal_min,signal_max,signal_peak_abs,signal_final,signal_onset_distance_mm,contact_onset_distance_mm,signal_distance_slope,signal_distance_intercept,signal_distance_r_squared,force_distance_slope,force_distance_intercept,force_distance_r_squared,force_signal_slope,force_signal_intercept,force_signal_r_squared,csv_path,metadata_path
1,contact_threshold,32096,1605.7570419739932,15.991704155,1630.7,36.60372924804689,-423.3333333333333,871.0,871.0,12.0,0.1585083007812349,34.922607421875,-4.160914349455738,34.547251293999516,0.5723817862717558,896.1040232921334,-31340.669478184816,0.9716462623239782,1.1621275369255835,495.64833969455606,0.989229532357349,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_taxel35_batch_20260923_153540_273109/trial_0001.csv,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_taxel35_batch_20260923_153540_273109/trial_0001.json
2,contact_threshold,24667,1234.322739180061,16.51635993,1684.2,36.491119384765625,-326.0,675.6666666666666,675.6666666666666,-13.0,5.850677490234379,34.95094299316406,-5.00061648214428,70.62462563117066,0.5295340749558302,1049.4863698063648,-36715.36083292568,0.9850718916980583,1.4905181496017132,570.2849984783091,0.9880305484244987,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_taxel35_batch_20260923_153540_273109/trial_0002.csv,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_taxel35_batch_20260923_153540_273109/trial_0002.json
3,contact_threshold,24915,1246.710103622987,18.53064584,1889.6,36.622039794921875,-232.0,48.0,232.0,-71.0,5.630676269531232,35.16717529296876,-3.134985513400848,26.44522706015947,0.6545536743359114,1060.1994043777258,-37095.954035864546,0.9844273909905612,9.747719055169101,882.6299398967285,0.8992169192448451,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_taxel35_batch_20260923_153540_273109/trial_0003.csv,/home/ping2/ros2_ws/src/phd/phd/resource/calibration_recordings/calibration_taxel35_batch_20260923_153540_273109/trial_0003.json
