epoch,lr,train_loss,train_velocity_loss,train_mode_loss,train_mode_accuracy,val_loss,val_velocity_loss,val_mode_loss,val_mode_accuracy
1,0.001,0.1172203110580609,0.01950980087261583,0.4885525429619859,0.784285404780819,0.05611824261164374,0.007234243772774414,0.24441998853733402,0.9092495636998255
2,0.001,0.0633333927161538,0.009417347852529416,0.2695802193765366,0.8710912110926554,0.055724985416438985,0.005781744372743275,0.2497162008056674,0.9214659685863874
3,0.001,0.0537895522425194,0.0075615259681593525,0.23114012669245412,0.8885679208492814,0.051044088539652796,0.005386477862086543,0.22828805269787242,0.9140488656195462
4,0.001,0.050181792061494784,0.0068105833888491875,0.21685603938740136,0.8964396620206543,0.04976249523915961,0.005224836616001594,0.22268829285370326,0.9227748691099477
5,0.001,0.045893845852509364,0.006251214594888477,0.1982131522360576,0.9024337401603235,0.04469533554598507,0.004747464889205381,0.19973934846190675,0.9273560209424084
6,0.001,0.04276242061229125,0.0059062283733435795,0.1842809590863658,0.9105221347584315,0.043397521759411015,0.004710547725774061,0.1934348657649225,0.9256108202443281
7,0.001,0.04345421347453154,0.005917760823621475,0.18768225889511725,0.9069834621217592,0.05223499224188024,0.005292730917503982,0.23471130515216324,0.9144851657940664
8,0.001,0.03912470818390233,0.005303148906364539,0.16910779350689106,0.9151440745287788,0.07719164122591676,0.007386679422328928,0.3490247959189806,0.8760907504363001
9,0.001,0.03704619186657224,0.00510115854405733,0.15972516440528217,0.9204159745793312,0.04635213074935877,0.004961837619871395,0.20695146194043168,0.918630017452007
10,0.001,0.035845569595280236,0.004928513997313567,0.15458527593597346,0.9252545677764137,0.044959058720182896,0.004441378160754063,0.2025884024109724,0.9275741710296684
11,0.001,0.03458380768588226,0.004679434275925977,0.14952186617287064,0.927204448617029,0.04477286776999113,0.00479742283969435,0.19987722123480592,0.9177574171029669
12,0.0005,0.03315533708299167,0.004516956419630186,0.14319190163050455,0.9310319924893479,0.05972193328445911,0.00592685345134472,0.2689753939343997,0.9066317626527051
13,0.0005,0.02922206288272873,0.004102686257083099,0.1255968805668052,0.9400592186033075,0.061017338127990046,0.005894752327760318,0.27561292655596975,0.9024869109947644
14,0.0005,0.02631807690706246,0.003737591970742885,0.11290242298097743,0.9458366433162417,0.0480120817612187,0.004520381842581409,0.21745849740130738,0.919066317626527
15,0.0005,0.02540604671637031,0.003644852992570933,0.10880596689961142,0.9503141474687657,0.05259278207939333,0.0049265596075357306,0.23833111089769665,0.9153577661431065
16,0.0005,0.025301180147775274,0.0035953599576165197,0.10852909857970701,0.9503141474687657,0.0596794608564329,0.0056183445826282034,0.2703055782571929,0.900523560209424
17,0.0005,0.02484846833616876,0.0035599453814342246,0.10644261346247649,0.9502419296598541,0.05330214208970415,0.005086373741302499,0.24107883316684145,0.9114310645724258
18,0.00025,0.023755243785085856,0.0034239377066503257,0.10165652892060457,0.9528417707806746,0.055913637647402016,0.004927353777560137,0.25493141064781166,0.9232111692844677
19,0.00025,0.021016859955428704,0.003127975914159332,0.0894444187701011,0.9591247201559905,0.0563688014079711,0.00466101875902878,0.2585389118830155,0.9179755671902269
20,0.00025,0.020286035716787627,0.0030521616605890998,0.08616936881335417,0.9619412147035459,0.05705185557665209,0.004740313466729346,0.26155771451626775,0.9262652705061082
21,0.00025,0.020611984479179397,0.003014539257441188,0.08798722509891192,0.9602079872896656,0.06635292265466683,0.0055610995791150735,0.3039591092141719,0.9033595113438045
