elapsed_s,phase,force_sample_fresh,force_raw_n,force_baseline_n,force_delta_n,force_delta_abs_n,force_raw_g,force_baseline_g,force_delta_g,force_delta_abs_g,tool_z_m,travel_down_mm,frame_sequence,cell_index,display_row,column,raw,calibration,diff,diff_percent,raw_ave,diff_ave,diff_percent_ave
1.0007383131887764,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652716064453125,0.0,1458,35,3,4,10752.0,10750.0,2.0,0.018604651162790697,10749.333333333334,-0.6666666666666666,-0.006201550387596899
1.065787518164143,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652716064453125,0.0,1464,35,3,4,10747.0,10750.0,-3.0,-0.027906976744186046,10747.0,-3.0,-0.027906976744186046
1.0984486141242087,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652716064453125,0.0,1470,35,3,4,10750.0,10750.0,0.0,0.0,10750.0,0.0,0.0
1.1501726522110403,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652716064453125,0.0,1477,35,3,4,10749.0,10750.0,-1.0,-0.009302325581395349,10750.333333333334,0.3333333333333333,0.0031007751937984496
1.1981721550691873,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652686767578125,0.0029296874999862332,1486,35,3,4,10749.0,10750.0,-1.0,-0.009302325581395349,10749.0,-1.0,-0.009302325581395349
1.247819621115923,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652686767578125,0.0029296874999862332,1494,35,3,4,10740.0,10750.0,-10.0,-0.09302325581395349,10740.0,-10.0,-0.09302325581395349
1.3027610371354967,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652686767578125,0.0029296874999862332,1500,35,3,4,10750.0,10750.0,0.0,0.0,10750.0,0.0,0.0
1.3505219100043178,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652686767578125,0.0029296874999862332,1506,35,3,4,10749.0,10750.0,-1.0,-0.009302325581395349,10749.0,-1.0,-0.009302325581395349
1.3986493030097336,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652697448730469,0.0018615722656156741,1512,35,3,4,10746.0,10750.0,-4.0,-0.037209302325581395,10746.0,-4.0,-0.037209302325581395
1.4648709851317108,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.265270751953125,0.0008544921875075495,1518,35,3,4,10752.0,10750.0,2.0,0.018604651162790697,10750.666666666666,0.6666666666666666,0.006201550387596899
1.4990320859942585,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.265270751953125,0.0008544921875075495,1523,35,3,4,10752.0,10750.0,2.0,0.018604651162790697,10752.0,2.0,0.018604651162790697
1.5502049131318927,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26526910400390624,0.002502441406260214,1529,35,3,4,10747.0,10750.0,-3.0,-0.027906976744186046,10747.0,-3.0,-0.027906976744186046
1.59923365409486,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26526910400390624,0.002502441406260214,1536,35,3,4,10744.0,10750.0,-6.0,-0.05581395348837209,10748.666666666666,-1.3333333333333333,-0.012403100775193798
1.6667271221522242,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.265272216796875,0.0,1541,35,3,4,10742.0,10750.0,-8.0,-0.07441860465116279,10743.333333333334,-6.666666666666667,-0.06201550387596899
1.698518460150808,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652733764648438,0.0,1546,35,3,4,10745.0,10750.0,-5.0,-0.046511627906976744,10745.0,-5.0,-0.046511627906976744
1.7482488101813942,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652733764648438,0.0,1554,35,3,4,10745.0,10750.0,-5.0,-0.046511627906976744,10745.0,-5.0,-0.046511627906976744
1.7899162999819964,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26528582763671876,0.0,1563,35,3,4,10744.0,10750.0,-6.0,-0.05581395348837209,10745.333333333334,-4.666666666666667,-0.043410852713178294
1.8491162611171603,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652962951660156,0.0,1572,35,3,4,10749.0,10750.0,-1.0,-0.009302325581395349,10749.0,-1.0,-0.009302325581395349
1.8903937321156263,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652962951660156,0.0,1578,35,3,4,10744.0,10750.0,-6.0,-0.05581395348837209,10744.0,-6.0,-0.05581395348837209
1.9407362160272896,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26530401611328125,0.0,1588,35,3,4,10746.0,10750.0,-4.0,-0.037209302325581395,10746.0,-4.0,-0.037209302325581395
1.9903838061727583,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653185729980469,0.0,1598,35,3,4,10745.0,10750.0,-5.0,-0.046511627906976744,10745.0,-5.0,-0.046511627906976744
2.0493934380356222,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653269958496094,0.0,1608,35,3,4,10748.0,10750.0,-2.0,-0.018604651162790697,10748.0,-2.0,-0.018604651162790697
2.1022627241909504,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26533477783203124,0.0,1615,35,3,4,10744.0,10750.0,-6.0,-0.05581395348837209,10744.0,-6.0,-0.05581395348837209
2.1534961292054504,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653494873046875,0.0,1620,35,3,4,10746.0,10750.0,-4.0,-0.037209302325581395,10746.0,-4.0,-0.037209302325581395
2.199640499195084,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653494873046875,0.0,1627,35,3,4,10742.0,10750.0,-8.0,-0.07441860465116279,10742.0,-8.0,-0.07441860465116279
2.2659281021915376,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.265355224609375,0.0,1632,35,3,4,10742.0,10750.0,-8.0,-0.07441860465116279,10742.0,-8.0,-0.07441860465116279
2.2980806541163474,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.265355224609375,0.0,1636,35,3,4,10748.0,10750.0,-2.0,-0.018604651162790697,10747.666666666666,-2.3333333333333335,-0.021705426356589147
2.348690504208207,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.265356689453125,0.0,1643,35,3,4,10754.0,10750.0,4.0,0.037209302325581395,10754.0,4.0,0.037209302325581395
2.3986473951954395,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26535638427734376,0.0,1650,35,3,4,10752.0,10750.0,2.0,0.018604651162790697,10752.0,2.0,0.018604651162790697
2.4666769690811634,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26535638427734376,0.0,1658,35,3,4,10747.0,10750.0,-3.0,-0.027906976744186046,10747.333333333334,-2.6666666666666665,-0.024806201550387597
2.4899204149842262,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653435363769531,0.0,1663,35,3,4,10748.0,10750.0,-2.0,-0.018604651162790697,10748.0,-2.0,-0.018604651162790697
2.5401333461049944,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653435363769531,0.0,1672,35,3,4,10742.0,10750.0,-8.0,-0.07441860465116279,10742.0,-8.0,-0.07441860465116279
2.5905034230090678,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.265335205078125,0.0,1682,35,3,4,10739.0,10750.0,-11.0,-0.10232558139534884,10739.0,-11.0,-0.10232558139534882
2.648436819203198,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26532586669921876,0.0,1691,35,3,4,10742.0,10750.0,-8.0,-0.07441860465116279,10742.666666666666,-7.333333333333333,-0.06821705426356589
2.698901341063902,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26531793212890625,0.0,1699,35,3,4,10743.0,10750.0,-7.0,-0.06511627906976744,10743.0,-7.0,-0.06511627906976744
2.749765783082694,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653079528808594,0.0,1705,35,3,4,10748.0,10750.0,-2.0,-0.018604651162790697,10748.0,-2.0,-0.018604651162790697
2.798793331021443,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2653079528808594,0.0,1711,35,3,4,10748.0,10750.0,-2.0,-0.018604651162790697,10748.0,-2.0,-0.018604651162790697
2.864671840099618,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26528936767578126,0.0,1716,35,3,4,10743.0,10750.0,-7.0,-0.06511627906976744,10744.333333333334,-5.666666666666667,-0.05271317829457364
2.899145736126229,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.26528936767578126,0.0,1722,35,3,4,10740.0,10750.0,-10.0,-0.09302325581395349,10741.0,-9.0,-0.08372093023255815
2.9500731320586056,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652667236328125,0.004882812499995559,1727,35,3,4,10744.0,10750.0,-6.0,-0.05581395348837209,10744.0,-6.0,-0.05581395348837209
2.9996745290700346,approaching,True,0.015690640000000002,0.015690640000000002,0.0,0.0,1.6000000000000003,1.6000000000000003,0.0,0.0,0.2652667236328125,0.004882812499995559,1732,35,3,4,10752.0,10750.0,2.0,0.018604651162790697,10752.0,2.0,0.018604651162790697
