epoch,lr,train_loss,train_velocity_loss,train_mode_loss,train_mode_accuracy,val_loss,val_velocity_loss,val_mode_loss,val_mode_accuracy
1,0.001,0.17121219555160977,0.028124785392286286,0.7154370428181955,0.7180616740088106,0.0765548128940256,0.009131805916815788,0.33711502590520637,0.8996509598603839
2,0.001,0.07938188552020294,0.012695669446880636,0.33343107602355576,0.8608362822271972,0.05824132062117675,0.006062900396405246,0.26089209505400734,0.9168848167539267
3,0.001,0.06817925060502181,0.009606752718436362,0.29286248353385597,0.8704412508124504,0.09002094392064978,0.011672473784581227,0.39174234232561334,0.8806719022687609
4,0.001,0.06345679859069225,0.00855646415935018,0.274501666487998,0.872752220697624,0.05456461009762882,0.005827176493525921,0.24368716487709766,0.9177574171029669
5,0.001,0.059215207823708295,0.007958943893218396,0.2562813143357995,0.877013071423413,0.056970637155140884,0.005739564922870662,0.2561553582991189,0.9221204188481675
6,0.001,0.05903506281359183,0.007806010727847368,0.25614525626443857,0.8785296454105582,0.05547579840787834,0.005690757103699518,0.24892519968342405,0.9175392670157068
7,0.001,0.05578632132074433,0.007402351379906769,0.2419198461239059,0.8808406152957319,0.05481518372035151,0.005623242913511294,0.24595970144238563,0.918848167539267
8,0.001,0.05238969140941205,0.006932442487451073,0.22728624127656188,0.8848125947858742,0.055832021770573,0.00570802918177571,0.2506199613291556,0.9203752181500873
9,0.001,0.052062899676268135,0.006768088783321451,0.22647405106547663,0.8856069906839027,0.055343576009672976,0.0054660460600437655,0.24938764637677457,0.9221204188481675
10,0.0005,0.05113605667997106,0.006726166384381123,0.22204944794316786,0.888206831804723,0.05553043213060181,0.005667327263231599,0.24931552075174673,0.9199389179755671
11,0.0005,0.04950588193058972,0.006381849546144593,0.21562015901595374,0.8907344551166317,0.0588335271203081,0.005705073655438308,0.2656422636063727,0.9153577661431065
12,0.0005,0.04823468620945049,0.006153367016509669,0.21040659153290137,0.8929732071928937,0.060606044481458045,0.005945881794812848,0.2733008068373482,0.9105584642233857
13,0.0005,0.04819320469654544,0.006221449207693431,0.20985877424566773,0.8942009099443923,0.05531955182708371,0.0053436387887532966,0.2498795620017859,0.9171029668411868
14,0.0005,0.04728973739781629,0.006111651132952802,0.20589042721246134,0.8935509496641872,0.0592433961066068,0.005750698670517348,0.2674634848797717,0.9160122164048866
15,0.0005,0.046934807787838935,0.006092869395174523,0.20420968915018578,0.8948508702245974,0.05925621022104593,0.005755609378915416,0.26750300000267296,0.9103403141361257
16,0.00025,0.046412683957467366,0.005992528804327485,0.20210077187391173,0.8952119592691558,0.061789627786706255,0.005908551560893629,0.2794053753217061,0.9024869109947644
17,0.00025,0.0450906289596523,0.005834460206930571,0.19628084135277654,0.8975951469632412,0.05889410188788935,0.005650229999903438,0.26621935166821636,0.9092495636998255
18,0.00025,0.04459793055086366,0.005746462917246041,0.19425733396402117,0.8990395031414747,0.06114383580172873,0.0058363492107276855,0.276537422214295,0.9116492146596858
19,0.00025,0.044102350190026826,0.005712642738118207,0.1919485335338156,0.9002672058929732,0.06545570903631613,0.006273121475967388,0.29591293437942784,0.9057591623036649
