timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z
1776239581.408165,-0.492637,0.009640,0.577221,-0.002753,-0.413112,0.910672,-0.002755
1776239581.613183,-0.492637,0.009637,0.577221,-0.002753,-0.413115,0.910670,-0.002755
1776239581.804942,-0.492637,0.009637,0.577221,-0.002753,-0.413115,0.910670,-0.002755
1776239581.993539,-0.492637,0.009637,0.577221,-0.002753,-0.413115,0.910670,-0.002755
1776239582.175856,-0.492637,0.009637,0.577221,-0.002753,-0.413115,0.910670,-0.002755
1776239582.371093,-0.492637,0.009637,0.577221,-0.002753,-0.413115,0.910670,-0.002755
1776239582.572561,-0.492637,0.009637,0.577221,-0.002753,-0.413115,0.910670,-0.002755
1776239582.744783,-0.492637,0.009637,0.577221,-0.002753,-0.413115,0.910670,-0.002755
1776239582.943199,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239583.156068,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239583.356229,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239583.522637,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239583.738799,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239583.922656,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239584.155988,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239584.340570,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239584.539344,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239584.756328,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239584.922661,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239585.122632,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239585.356093,-0.492637,0.009637,0.577221,-0.002753,-0.413120,0.910668,-0.002755
1776239585.522513,-0.492800,0.009448,0.577255,-0.002771,-0.412937,0.910751,-0.002741
1776239585.738521,-0.496352,0.005642,0.577098,-0.002620,-0.412911,0.910763,-0.002877
1776239585.939345,-0.503541,-0.002548,0.577202,-0.002657,-0.412869,0.910782,-0.002870
1776239586.156173,-0.510960,-0.011037,0.577245,-0.002595,-0.412923,0.910758,-0.002930
1776239586.355989,-0.519587,-0.020885,0.577333,-0.002624,-0.412912,0.910762,-0.002926
1776239586.556316,-0.527660,-0.030044,0.577430,-0.002732,-0.412940,0.910750,-0.002875
1776239586.722658,-0.534486,-0.037836,0.577510,-0.002817,-0.412969,0.910736,-0.002835
1776239586.940368,-0.541866,-0.046244,0.577609,-0.002830,-0.412891,0.910772,-0.002844
1776239587.140852,-0.550385,-0.056034,0.577644,-0.002763,-0.412978,0.910732,-0.002891
1776239587.356179,-0.556344,-0.062957,0.577808,-0.002844,-0.413136,0.910660,-0.002837
1776239587.556318,-0.558013,-0.064827,0.577736,-0.002739,-0.413087,0.910683,-0.002890
1776239587.756278,-0.558024,-0.064870,0.577732,-0.002731,-0.413049,0.910700,-0.002895
1776239587.956159,-0.558022,-0.064873,0.577734,-0.002727,-0.413038,0.910705,-0.002892
1776239588.140018,-0.558025,-0.064872,0.577730,-0.002724,-0.413038,0.910705,-0.002893
1776239588.340333,-0.558025,-0.064872,0.577730,-0.002724,-0.413034,0.910707,-0.002893
1776239588.539422,-0.557577,-0.064270,0.577566,-0.002560,-0.413339,0.910569,-0.002987
1776239588.740822,-0.553205,-0.059319,0.577424,-0.002460,-0.413461,0.910514,-0.003030
1776239588.957336,-0.544481,-0.049296,0.577368,-0.002507,-0.413398,0.910542,-0.002973
1776239589.139216,-0.539029,-0.043072,0.577301,-0.002521,-0.413463,0.910513,-0.002950
1776239589.356941,-0.529787,-0.032475,0.577187,-0.002496,-0.413518,0.910488,-0.002938
1776239589.573033,-0.521140,-0.022632,0.577066,-0.002419,-0.413510,0.910492,-0.002977
1776239589.756174,-0.513049,-0.013517,0.577033,-0.002499,-0.413589,0.910456,-0.002905
1776239589.940914,-0.507457,-0.007141,0.577041,-0.002601,-0.413538,0.910479,-0.002822
1776239590.140635,-0.497618,0.004092,0.576915,-0.002626,-0.413611,0.910445,-0.002782
1776239590.339465,-0.490779,0.011819,0.576843,-0.002668,-0.413705,0.910403,-0.002738
1776239590.539634,-0.482702,0.021012,0.576835,-0.002683,-0.413676,0.910416,-0.002706
1776239590.740569,-0.475277,0.029432,0.576720,-0.002659,-0.413683,0.910413,-0.002727
1776239590.956169,-0.466066,0.039968,0.576577,-0.002628,-0.413707,0.910402,-0.002749
1776239591.122634,-0.459856,0.046982,0.576540,-0.002657,-0.413758,0.910379,-0.002715
1776239591.372916,-0.449328,0.058916,0.576566,-0.002809,-0.413800,0.910360,-0.002555
1776239591.539288,-0.443709,0.065260,0.576418,-0.002716,-0.413809,0.910356,-0.002664
1776239591.773356,-0.433869,0.076507,0.576419,-0.002854,-0.413838,0.910343,-0.002512
1776239591.940659,-0.426476,0.084957,0.576356,-0.002862,-0.413847,0.910338,-0.002510
